Year,2-year,4-year,type
2010,7683597,10398830,Actual
2011,7511150,10566153,Actual
2012,7167840,10567798,Actual
2013,6970644,10505660,Actual
2014,6714678,10579458,Actual
2015,6499461,10547212,Actual
2016,6092418,10782231,Actual
2017,5952771,10820265,Actual
2018,5752962,10863408,Actual
2019,5590711,10966828,Actual
2020,4931680,10952879,Actual
2021,4682596,10765824,Actual
2022,4928107,10942155,Projected
2023,4940263,10947151,Projected
2024,5023322,11121439,Projected
2025,5100369,11306196,Projected
2026,5153776,11449193,Projected
2027,5185400,11538262,Projected
2028,5205126,11583270,Projected
2029,5221415,11577760,Projected
2030,5236645,11553481,Projected
2031,5262277,11560451,Projected
